
 ,time,x,y,z
, 3.736, -0.01, 0.40, 1.01
, 3.781, -0.01, 0.41, 0.99
, 3.852, -0.01, 0.41, 0.97
, 3.864, -0.01, 0.40, 1.02
, 3.928, -0.00, 0.40, 1.01
, 3.972, -0.01, 0.40, 1.02
, 3.991, -0.00, 0.40, 1.02
, 4.075, -0.01, 0.41, 1.00
, 4.128, -0.01, 0.41, 1.00
, 4.190, -0.01, 0.41, 1.00
, 4.192, -0.00, 0.41, 1.00
, 4.293, -0.00, 0.41, 1.02
, 4.324, 0.00, 0.41, 1.01
, 4.374, -0.00, 0.41, 1.01
, 4.375, 0.01, 0.41, 1.00
, 4.465, 0.00, 0.41, 1.00
, 4.500, -0.01, 0.41, 1.01
, 4.568, 0.01, 0.41, 1.00
, 4.569, 0.00, 0.41, 1.00
, 4.627, -0.00, 0.41, 1.00
, 4.727, -0.00, 0.41, 1.01
, 4.800, -0.00, 0.41, 1.01
, 4.802, -0.00, 0.41, 1.01
, 4.859, 0.01, 0.41, 1.02
, 4.892, 0.00, 0.41, 1.00
, 4.956, -0.01, 0.41, 1.00
, 4.977, 0.00, 0.41, 1.01
, 5.008, -0.00, 0.42, 0.99
, 5.072, -0.00, 0.42, 1.01
, 5.167, 0.00, 0.42, 1.02
, 5.168, -0.00, 0.42, 1.01
, 5.209, 0.00, 0.42, 0.99
, 5.265, 0.01, 0.42, 1.01
, 5.336, -0.00, 0.42, 1.04
, 5.390, -0.00, 0.42, 1.02
, 5.392, -0.01, 0.41, 1.00
, 5.493, -0.00, 0.41, 1.00
, 5.548, 0.01, 0.41, 1.00
, 5.594, -0.00, 0.41, 0.99
, 5.595, -0.02, 0.42, 0.99
, 5.647, -0.01, 0.42, 1.00
, 5.733, 0.02, 0.42, 1.03
, 5.830, -0.01, 0.42, 1.00
, 5.833, 0.00, 0.42, 1.01
, 5.835, -0.01, 0.42, 0.98
, 5.998, 0.02, 0.41, 1.01
, 5.999, 0.00, 0.41, 1.01
, 6.000, 0.01, 0.41, 0.99
, 6.037, 0.01, 0.41, 0.99
, 6.091, 0.00, 0.38, 1.04
, 6.163, -0.00, 0.43, 0.96
, 6.179, -0.00, 0.42, 0.99
, 6.223, -0.01, 0.44, 0.98
, 6.280, 0.02, 0.41, 1.03
, 6.354, 0.01, 0.40, 1.01
, 6.383, 0.01, 0.41, 1.00
, 6.426, -0.01, 0.43, 0.95
, 6.481, 0.00, 0.40, 1.04
, 6.544, 0.05, 0.40, 0.97
, 6.582, 0.03, 0.40, 1.02
, 6.615, -0.00, 0.42, 1.02
, 6.662, -0.02, 0.43, 0.97
, 6.747, 0.02, 0.42, 1.02
, 6.805, -0.01, 0.42, 0.99
, 6.806, -0.00, 0.42, 0.97
, 6.872, 0.00, 0.41, 1.04
, 6.954, -0.01, 0.42, 0.96
, 6.979, 0.00, 0.41, 1.02
, 6.981, -0.00, 0.41, 1.01
, 7.058, -0.00, 0.44, 0.99
, 7.143, -0.00, 0.44, 0.99
, 7.174, -0.02, 0.43, 1.01
, 7.192, -0.01, 0.44, 1.00
, 7.254, -0.01, 0.42, 0.99
, 7.318, -0.00, 0.43, 1.00
, 7.360, 0.00, 0.42, 1.00
, 7.388, -0.00, 0.42, 1.00
, 7.462, -0.01, 0.42, 1.01
, 7.515, -0.00, 0.43, 0.98
, 7.562, -0.02, 0.43, 1.03
, 7.589, -0.00, 0.42, 0.99
, 7.640, -0.00, 0.42, 0.99
, 7.678, -0.01, 0.42, 1.00
, 7.742, -0.01, 0.42, 1.00
, 7.814, -0.01, 0.41, 1.01
, 7.815, -0.01, 0.40, 1.04
, 7.869, 0.01, 0.43, 0.96
, 7.934, 0.00, 0.41, 1.03
, 8.014, 0.01, 0.41, 1.00
, 8.016, 0.03, 0.39, 1.01
, 8.061, -0.01, 0.41, 1.02
, 8.192, -0.03, 0.43, 0.99
, 8.195, -0.01, 0.40, 1.04
, 8.199, -0.02, 0.41, 1.01
, 8.345, 0.00, 0.39, 1.01
, 8.346, -0.01, 0.41, 0.99
, 8.397, -0.02, 0.42, 1.01
, 8.399, -0.01, 0.41, 1.00
, 8.467, -0.01, 0.42, 1.01
, 8.537, -0.01, 0.41, 0.99
, 8.569, -0.01, 0.41, 0.99
, 8.604, -0.01, 0.41, 0.99
, 8.661, 0.00, 0.42, 0.98
, 8.705, -0.00, 0.42, 0.99
, 8.759, 0.00, 0.40, 1.02
, 8.798, -0.00, 0.41, 1.00
, 8.843, -0.00, 0.41, 1.00
, 8.888, -0.01, 0.41, 1.00
, 8.960, -0.02, 0.41, 0.98
, 9.004, -0.01, 0.41, 1.00
, 9.103, 0.00, 0.41, 0.98
, 9.104, 0.00, 0.40, 1.03
, 9.154, 0.01, 0.42, 0.98
, 9.215, 0.00, 0.41, 1.00
, 9.218, 0.01, 0.41, 1.00
, 9.311, -0.01, 0.41, 1.00
, 9.354, -0.00, 0.41, 1.01
, 9.403, -0.00, 0.42, 0.99
, 9.405, -0.01, 0.41, 1.00
, 9.549, 0.01, 0.42, 1.00
, 9.550, -0.00, 0.42, 0.98
, 9.586, -0.00, 0.42, 0.99
, 9.608, -0.00, 0.42, 0.99
, 9.649, -0.01, 0.42, 1.00
, 9.737, -0.00, 0.43, 1.01
, 9.779, 0.00, 0.43, 0.97
, 9.814, -0.00, 0.43, 1.00
, 9.882, -0.00, 0.43, 0.99
, 9.903, 0.00, 0.43, 0.99
, 9.968, -0.00, 0.42, 1.00
, 10.035, -0.00, 0.43, 0.98
, 10.037, -0.00, 0.43, 0.95
, 10.105, 0.00, 0.44, 0.96
, 10.170, 0.01, 0.43, 1.00
, 10.261, -0.00, 0.43, 1.00
, 10.264, -0.02, 0.43, 1.04
, 10.315, -0.01, 0.42, 1.03
, 10.373, 0.01, 0.42, 0.99
, 10.447, -0.00, 0.42, 0.99
, 10.448, -0.01, 0.43, 0.96
, 10.475, 0.01, 0.44, 0.99
, 10.550, 0.01, 0.45, 1.00
, 10.605, -0.01, 0.45, 1.02
, 10.606, 0.00, 0.45, 1.00
, 10.691, -0.00, 0.44, 0.98
, 10.747, -0.00, 0.44, 0.98
, 10.806, -0.01, 0.43, 1.00
, 10.807, -0.01, 0.44, 0.97
, 10.886, -0.02, 0.43, 0.95
, 10.921, 0.02, 0.42, 1.00
, 10.992, 0.00, 0.43, 1.03
, 11.036, 0.00, 0.43, 1.01
, 11.054, -0.02, 0.45, 0.99
, 11.126, 0.02, 0.43, 1.00
, 11.178, 0.02, 0.43, 0.99
, 11.227, 0.00, 0.43, 0.99
, 11.256, -0.03, 0.42, 0.98
, 11.302, -0.01, 0.43, 0.99
, 11.367, 0.01, 0.43, 1.00
, 11.453, -0.00, 0.43, 0.99
, 11.457, 0.00, 0.43, 0.99
, 11.507, 0.01, 0.42, 0.98
, 11.561, 0.00, 0.43, 0.99
, 11.632, 0.01, 0.43, 1.00
, 11.634, 0.01, 0.43, 0.99
, 11.683, -0.01, 0.43, 0.99
, 11.754, -0.00, 0.43, 0.97
, 11.843, 0.01, 0.42, 0.98
, 11.845, -0.00, 0.43, 0.98
, 11.902, 0.03, 0.42, 1.01
, 11.939, 0.01, 0.42, 0.98
, 12.011, -0.02, 0.42, 0.98
, 12.057, 0.01, 0.42, 0.99
, 12.072, -0.02, 0.42, 0.99
, 12.158, -0.00, 0.42, 1.01
, 12.203, 0.01, 0.42, 1.03
, 12.228, -0.00, 0.42, 1.01
, 12.265, 0.02, 0.42, 0.98
, 12.328, 0.00, 0.44, 0.97
, 12.393, 0.00, 0.43, 0.95
, 12.468, 0.01, 0.42, 0.99
, 12.473, 0.01, 0.42, 1.02
, 12.524, 0.01, 0.42, 1.02
, 12.596, 0.01, 0.42, 0.98
, 12.661, 0.01, 0.42, 1.00
, 12.662, 0.02, 0.43, 0.98
, 12.713, 0.00, 0.43, 0.99
, 12.787, -0.04, 0.41, 0.96
, 12.856, 0.02, 0.41, 1.06
, 12.858, -0.01, 0.42, 1.00
, 12.916, 0.04, 0.43, 1.01
, 13.027, 0.01, 0.42, 1.02
, 13.029, -0.01, 0.42, 0.92
, 13.031, 0.01, 0.42, 0.98
, 13.123, 0.01, 0.42, 0.99
, 13.179, 0.00, 0.42, 1.01
, 13.256, -0.00, 0.43, 1.04
, 13.258, 0.00, 0.42, 1.01
, 13.276, 0.00, 0.41, 1.00
, 13.389, -0.00, 0.41, 0.97
, 13.413, -0.01, 0.42, 0.97
, 13.511, -0.00, 0.42, 0.99
, 13.512, 0.01, 0.42, 1.02
, 13.562, -0.01, 0.43, 1.02
, 13.613, 0.01, 0.43, 1.02
, 13.632, -0.00, 0.43, 1.01
, 13.665, -0.01, 0.42, 0.99
, 13.717, -0.01, 0.43, 0.96
, 13.781, 0.00, 0.42, 1.01
, 13.844, -0.00, 0.43, 0.98
, 13.846, 0.02, 0.44, 0.97
, 13.959, 0.01, 0.43, 0.98
, 13.972, -0.02, 0.42, 0.98
, 14.041, -0.00, 0.41, 1.00
, 14.042, 0.00, 0.42, 0.99
, 14.099, 0.01, 0.41, 1.02
, 14.230, 0.02, 0.40, 1.00
, 14.232, 0.02, 0.42, 0.99
, 14.233, 0.02, 0.41, 1.00
, 14.290, -0.02, 0.42, 1.01
, 14.375, 0.00, 0.42, 0.97
, 14.428, 0.01, 0.42, 0.99
, 14.437, 0.00, 0.42, 0.99
, 14.481, 0.00, 0.42, 0.98
, 14.624, 0.01, 0.42, 0.99
, 14.626, 0.01, 0.42, 0.98
, 14.649, 0.01, 0.42, 0.99
, 14.672, 0.01, 0.43, 0.97
, 14.735, 0.02, 0.42, 0.99
, 14.842, 0.00, 0.42, 1.00
, 14.845, 0.01, 0.42, 0.98
, 14.881, 0.02, 0.42, 0.98
, 14.927, 0.01, 0.43, 0.98
, 14.990, 0.01, 0.42, 1.00
, 15.043, 0.01, 0.43, 0.99
, 15.097, 0.00, 0.43, 0.98
, 15.139, 0.02, 0.42, 0.97
, 15.210, 0.01, 0.42, 0.99
, 15.305, 0.01, 0.42, 0.98
, 15.308, 0.02, 0.42, 0.99
, 15.311, 0.03, 0.42, 0.96
, 15.446, 0.02, 0.42, 0.93
, 15.448, 0.03, 0.43, 0.93
, 15.449, 0.03, 0.42, 0.94
, 15.526, 0.01, 0.42, 0.97
, 15.592, 0.02, 0.43, 0.95
, 15.627, 0.02, 0.42, 0.98
, 15.656, 0.01, 0.43, 0.97
, 15.724, 0.01, 0.43, 0.95
, 15.753, 0.01, 0.42, 0.97
, 15.816, 0.02, 0.42, 0.99
, 15.849, 0.02, 0.43, 0.97
, 15.886, 0.02, 0.43, 0.95
, 15.944, 0.02, 0.42, 0.97
, 16.009, 0.03, 0.42, 0.96
, 16.054, 0.03, 0.42, 0.96
, 16.114, 0.02, 0.43, 0.94
, 16.146, 0.01, 0.43, 0.98
, 16.203, 0.01, 0.43, 0.99
, 16.252, 0.01, 0.43, 0.98
, 16.270, 0.01, 0.43, 0.98
, 16.335, 0.01, 0.43, 0.96
, 16.399, 0.01, 0.43, 0.98
, 16.509, 0.01, 0.43, 0.98
, 16.511, 0.02, 0.43, 0.98
, 16.512, 0.02, 0.42, 0.98
, 16.617, 0.03, 0.41, 0.99
, 16.754, 0.02, 0.42, 0.97
, 16.755, 0.02, 0.42, 0.98
, 16.757, 0.02, 0.42, 0.99
, 16.806, 0.02, 0.43, 1.00
, 16.834, 0.02, 0.43, 0.98
, 16.881, 0.02, 0.42, 0.99
, 16.903, 0.02, 0.42, 0.99
, 16.967, 0.03, 0.41, 1.00
, 17.035, 0.01, 0.42, 0.97
, 17.062, 0.02, 0.42, 0.99
, 17.087, 0.02, 0.42, 0.99
, 17.151, 0.03, 0.42, 0.98
, 17.248, 0.01, 0.43, 0.97
, 17.258, 0.02, 0.43, 0.97
, 17.313, 0.02, 0.43, 0.96
, 17.348, 0.02, 0.42, 0.99
, 17.405, 0.02, 0.43, 0.97
, 17.474, 0.02, 0.43, 0.98
, 17.475, 0.02, 0.43, 0.98
, 17.532, 0.02, 0.42, 0.99
, 17.595, 0.02, 0.44, 0.96
, 17.691, 0.03, 0.43, 0.99
, 17.693, 0.02, 0.43, 0.98
, 17.723, 0.02, 0.44, 0.98
, 17.803, 0.02, 0.43, 1.00
, 17.970, 0.02, 0.44, 0.98
, 17.971, 0.02, 0.44, 0.98
, 17.973, 0.03, 0.44, 0.97
, 17.974, 0.01, 0.44, 0.97
, 18.100, 0.01, 0.44, 0.98
, 18.102, 0.02, 0.44, 0.98
, 18.103, 0.02, 0.44, 0.98
, 18.181, 0.02, 0.45, 0.97
, 18.237, 0.02, 0.44, 1.00
, 18.278, 0.02, 0.44, 0.98
, 18.308, 0.02, 0.44, 0.97
, 18.359, 0.02, 0.44, 0.98
, 18.444, 0.02, 0.44, 0.99
, 18.476, 0.02, 0.44, 0.99
, 18.486, 0.02, 0.44, 0.99
, 18.550, 0.02, 0.43, 0.99
, 18.708, 0.02, 0.43, 0.98
, 18.710, 0.02, 0.44, 0.99
, 18.711, 0.02, 0.44, 0.97
, 18.790, 0.02, 0.44, 0.99
, 18.826, 0.02, 0.45, 0.96
, 18.938, 0.02, 0.44, 1.00
, 18.940, 0.02, 0.44, 0.98
, 18.943, 0.03, 0.45, 0.96
, 19.051, 0.03, 0.45, 0.95
, 19.142, 0.03, 0.44, 1.00
, 19.143, 0.03, 0.45, 0.97
, 19.144, 0.03, 0.44, 0.98
, 19.216, 0.02, 0.43, 0.98
, 19.254, 0.02, 0.42, 0.99
, 19.275, 0.02, 0.43, 0.98
, 19.329, 0.02, 0.42, 0.98
, 19.396, 0.02, 0.42, 0.97
, 19.440, 0.02, 0.43, 0.97
, 19.506, 0.02, 0.42, 0.97
, 19.509, 0.03, 0.43, 1.01
, 19.596, 0.02, 0.43, 0.98
, 19.651, 0.01, 0.42, 0.99
, 19.686, 0.02, 0.43, 0.98
, 19.695, 0.01, 0.42, 0.97
, 19.757, 0.02, 0.42, 0.99
, 19.822, 0.02, 0.43, 0.98
, 19.906, 0.02, 0.43, 0.99
, 19.908, 0.02, 0.43, 0.99
, 19.952, 0.03, 0.43, 0.96
, 20.013, 0.04, 0.42, 0.97
, 20.100, 0.02, 0.43, 0.98
, 20.102, 0.03, 0.43, 0.97
, 20.139, 0.02, 0.43, 1.01
, 20.206, 0.03, 0.43, 0.99
, 20.313, 0.01, 0.43, 0.97
, 20.314, 0.02, 0.43, 0.99
, 20.346, 0.01, 0.43, 0.97
, 20.402, 0.02, 0.43, 1.00
, 20.462, 0.02, 0.44, 0.97
, 20.497, 0.02, 0.44, 0.99
, 20.550, 0.02, 0.44, 1.00
, 20.602, 0.02, 0.44, 0.96
, 20.649, 0.03, 0.43, 0.99
, 20.729, 0.02, 0.44, 0.97
, 20.730, 0.02, 0.44, 0.96
, 20.793, 0.02, 0.44, 0.98
, 20.838, 0.02, 0.43, 1.00
, 20.931, 0.02, 0.44, 0.98
, 20.934, 0.02, 0.44, 0.99
, 20.980, 0.02, 0.44, 0.97
, 21.077, 0.02, 0.44, 0.98
, 21.102, 0.02, 0.44, 0.98
, 21.103, 0.02, 0.44, 0.98
