
unknown,time,index,x,y,z,norm,unknown2,
0014.4F01.0000.04D2,0,0,-0.8064516129032258,0.3870967741935484,0.7258064516129032,1.1519562152044578,false,
0014.4F01.0000.04D2,9,1,-0.8064516129032258,0.4032258064516129,0.7580645161290323,1.1779715894522718,false,
0014.4F01.0000.04D2,19,2,-0.7903225806451613,0.3709677419354839,0.7096774193548387,1.1251083888125992,false,
0014.4F01.0000.04D2,29,3,-0.8064516129032258,0.3709677419354839,0.7580645161290323,1.1673230401756276,false,
0014.4F01.0000.04D2,39,4,-0.7903225806451613,0.43548387096774194,0.6935483870967742,1.1380972491818147,false,
0014.4F01.0000.04D2,49,5,-0.8387096774193549,0.3548387096774194,0.7419354838709677,1.174654287486008,false,
0014.4F01.0000.04D2,59,6,-0.8387096774193549,0.3870967741935484,0.7419354838709677,1.1847979143359328,false,
0014.4F01.0000.04D2,69,7,-0.8064516129032258,0.3870967741935484,0.6935483870967742,1.1319087780337258,false,
0014.4F01.0000.04D2,81,8,-0.8225806451612904,0.3870967741935484,0.6935483870967742,1.14345624998491,false,
0014.4F01.0000.04D2,89,9,-0.8064516129032258,0.4032258064516129,0.6935483870967742,1.1375256569358358,false,
0014.4F01.0000.04D2,99,10,-0.7741935483870968,0.4032258064516129,0.6935483870967742,1.1148883650829327,false,
0014.4F01.0000.04D2,109,11,-0.8064516129032258,0.4032258064516129,0.7258064516129032,1.1574758140651067,false,
0014.4F01.0000.04D2,119,12,-0.8064516129032258,0.41935483870967744,0.7258064516129032,1.1631928859421157,false,
0014.4F01.0000.04D2,129,13,-0.8225806451612904,0.3870967741935484,0.7096774193548387,1.1533103961757907,false,
0014.4F01.0000.04D2,139,14,-0.7903225806451613,0.3870967741935484,0.7258064516129032,1.140722884521737,false,
0014.4F01.0000.04D2,149,15,-0.8225806451612904,0.46774193548387094,0.7096774193548387,1.1828201365999422,false,
0014.4F01.0000.04D2,160,16,-0.8225806451612904,0.4032258064516129,0.7258064516129032,1.1687707106124074,false,
0014.4F01.0000.04D2,169,17,-0.8387096774193549,0.3870967741935484,0.7096774193548387,1.1648690377592124,false,
0014.4F01.0000.04D2,179,18,-0.8225806451612904,0.3709677419354839,0.6935483870967742,1.1380972491818147,false,
0014.4F01.0000.04D2,189,19,-0.8387096774193549,0.3870967741935484,0.6774193548387096,1.145501993842884,false,
0014.4F01.0000.04D2,199,20,-0.8387096774193549,0.3548387096774194,0.6774193548387096,1.135007231339302,false,
0014.4F01.0000.04D2,209,21,-0.8709677419354839,0.41935483870967744,0.7419354838709677,1.2185694688725228,false,
0014.4F01.0000.04D2,219,22,-0.8064516129032258,0.4032258064516129,0.7419354838709677,1.1676572772734364,false,
0014.4F01.0000.04D2,229,23,-0.8064516129032258,0.4032258064516129,0.6935483870967742,1.1375256569358358,false,
0014.4F01.0000.04D2,240,24,-0.7903225806451613,0.3548387096774194,0.7096774193548387,1.1198938926993518,false,
0014.4F01.0000.04D2,249,25,-0.8064516129032258,0.43548387096774194,0.6935483870967742,1.1493562420206367,false,
0014.4F01.0000.04D2,259,26,-0.8064516129032258,0.41935483870967744,0.7096774193548387,1.1531976084980307,false,
0014.4F01.0000.04D2,269,27,-0.8064516129032258,0.41935483870967744,0.7419354838709677,1.1733247406111749,false,
0014.4F01.0000.04D2,279,28,-0.8225806451612904,0.3870967741935484,0.7096774193548387,1.1533103961757907,false,
0014.4F01.0000.04D2,289,29,-0.8064516129032258,0.41935483870967744,0.7419354838709677,1.1733247406111749,false,
0014.4F01.0000.04D2,299,30,-0.7903225806451613,0.43548387096774194,0.7580645161290323,1.1785235652988106,false,
0014.4F01.0000.04D2,309,31,-0.8225806451612904,0.4032258064516129,0.7096774193548387,1.1588235449474877,false,
0014.4F01.0000.04D2,320,32,-0.8064516129032258,0.4032258064516129,0.7580645161290323,1.1779715894522718,false,
0014.4F01.0000.04D2,329,33,-0.8064516129032258,0.46774193548387094,0.7258064516129032,1.1814997788266088,false,
0014.4F01.0000.04D2,339,34,-0.8064516129032258,0.4032258064516129,0.6451612903225806,1.1086876681344773,false,
0014.4F01.0000.04D2,349,35,-0.8225806451612904,0.45161290322580644,0.6935483870967742,1.1668772417861886,false,
0014.4F01.0000.04D2,359,36,-0.8064516129032258,0.3709677419354839,0.6935483870967742,1.1264948445312402,false,
0014.4F01.0000.04D2,376,37,-0.8548387096774194,0.41935483870967744,0.6935483870967742,1.177971589452272,false,
0014.4F01.0000.04D2,379,38,-0.8548387096774194,0.43548387096774194,0.6774193548387096,1.1744328008643568,false,
0014.4F01.0000.04D2,390,39,-0.8709677419354839,0.41935483870967744,0.7419354838709677,1.2185694688725228,false,
0014.4F01.0000.04D2,400,40,-0.8064516129032258,0.43548387096774194,0.6774193548387096,1.139696182382549,false,
0014.4F01.0000.04D2,409,41,-0.7903225806451613,0.43548387096774194,0.7419354838709677,1.1682141265956012,false,
0014.4F01.0000.04D2,419,42,-0.7903225806451613,0.41935483870967744,0.7419354838709677,1.1622979499481594,false,
0014.4F01.0000.04D2,429,43,-0.8064516129032258,0.4032258064516129,0.7096774193548387,1.1474307362472522,false,
0014.4F01.0000.04D2,443,44,-0.7903225806451613,0.45161290322580644,0.6774193548387096,1.134663376578165,false,
0014.4F01.0000.04D2,449,45,-0.8064516129032258,0.43548387096774194,0.7096774193548387,1.1591602328278032,false,
0014.4F01.0000.04D2,460,46,-0.8064516129032258,0.4032258064516129,0.6935483870967742,1.1375256569358358,false,
0014.4F01.0000.04D2,470,47,-0.8387096774193549,0.3870967741935484,0.6935483870967742,1.1551135012770244,false,
0014.4F01.0000.04D2,480,48,-0.8709677419354839,0.41935483870967744,0.7419354838709677,1.2185694688725228,false,
0014.4F01.0000.04D2,492,49,-0.9032258064516129,0.3709677419354839,0.7258064516129032,1.2166465913320073,false,
0014.4F01.0000.04D2,499,50,-0.8548387096774194,0.3709677419354839,0.6612903225806451,1.1426596938102265,false,
