
 ,time,x,y,z
, 9.670, -0.00, 0.12, 0.04
, 9.710, -0.05, 0.18, 0.24
, 9.763, -0.07, -0.01, 0.08
, 9.828, -0.04, 0.11, 0.33
, 9.889, -0.09, 0.04, 0.36
, 9.954, -0.07, 0.01, 0.14
, 10.039, -0.03, 0.03, 0.13
, 10.081, -0.05, -0.02, 0.33
, 10.142, -0.04, 0.00, 0.22
, 10.249, -0.03, -0.14, 0.33
, 10.269, -0.06, -0.01, 0.32
, 10.333, -0.02, -0.01, 0.25
, 10.422, 0.03, -0.20, 0.08
, 10.464, 0.07, -0.21, 0.07
, 10.549, -0.07, -0.10, 0.18
, 10.589, -0.10, -0.05, 0.10
, 10.682, -0.06, 0.05, 0.11
, 10.728, -0.06, 0.04, 0.34
, 10.778, -0.05, 0.11, 0.22
, 10.857, -0.06, 0.23, 0.31
, 10.907, -0.16, 0.17, 0.18
, 10.971, -0.13, 0.15, 0.08
, 11.053, -0.14, 0.14, 0.29
, 11.102, -0.17, 0.17, 0.21
, 11.172, -0.14, 0.09, 0.10
, 11.223, -0.06, -0.01, 0.19
, 11.287, -0.08, 0.05, 0.34
, 11.353, -0.14, -0.09, 0.36
, 11.417, -0.05, -0.14, 0.14
, 11.524, -0.10, -0.10, 0.17
, 11.541, -0.06, -0.29, 0.65
, 11.604, -0.09, -0.57, 0.38
, 11.668, 0.08, 0.70, -1.42
, 11.733, -0.39, 0.06, 2.02
, 11.803, -0.09, -0.54, 0.75
, 11.863, 0.17, -0.07, -1.15
, 11.922, -0.24, 0.36, 0.36
, 11.986, -0.24, -0.05, 1.37
, 12.136, -0.06, -0.26, -0.12
, 12.139, -0.12, 0.35, -0.69
, 12.176, -0.38, 0.30, 1.27
, 12.240, -0.16, 0.02, 0.75
, 12.329, 0.03, 0.50, -0.57
, 12.373, -0.34, 0.16, 0.65
, 12.449, -0.26, -0.42, 0.73
, 12.510, -0.20, 0.13, -0.61
, 12.561, -0.56, 0.08, 0.44
, 12.657, -0.19, -0.38, 1.33
, 12.703, -0.12, 0.25, 0.03
, 12.750, -0.98, 0.40, 0.59
, 12.819, -0.60, 0.52, -1.05
, 12.879, -0.30, -0.15, 0.61
, 12.956, 0.69, -0.36, 1.94
, 13.003, -0.00, -0.42, 1.04
, 13.069, -0.74, -0.52, -0.65
, 13.130, 1.09, 0.14, 1.22
, 13.207, -0.21, 0.12, 0.13
, 13.260, -1.03, 0.56, 0.18
, 13.322, -0.51, 0.18, 0.15
, 13.458, -0.38, 0.53, 1.70
, 13.463, -0.57, 0.24, -0.10
, 13.521, -0.37, 0.03, 0.22
, 13.579, -0.65, -0.03, 0.33
, 13.654, 0.08, 0.47, 1.02
, 13.709, -1.05, 0.16, 0.14
, 13.765, -0.81, -0.42, 0.40
, 13.830, -0.34, -0.09, -0.10
, 13.903, -1.19, -0.19, 0.25
, 13.960, 0.18, 0.51, 0.38
, 14.057, -0.55, -0.47, -0.39
, 14.154, -1.18, -0.08, 1.04
, 14.159, -0.55, 0.01, 0.37
, 14.221, -0.35, 0.23, 0.00
, 14.275, -0.98, -0.33, 0.27
, 14.338, -0.31, 0.09, 0.71
, 14.426, -0.36, 0.03, 1.42
, 14.471, 0.07, -0.16, 1.43
, 14.556, -0.05, 0.16, 0.42
, 14.602, -0.69, 0.22, 0.75
, 14.656, -0.41, 0.16, 0.95
, 14.734, -0.68, 0.03, 0.87
, 14.827, -1.93, 0.59, -0.33
, 14.861, 0.05, 0.04, 1.38
, 14.970, -0.47, 0.07, -0.13
, 14.978, -0.80, -0.10, -0.50
, 15.040, -0.08, 0.01, 1.17
, 15.109, -0.99, 0.13, 0.37
, 15.166, -0.34, -0.24, 0.40
, 15.254, -0.66, 0.23, 0.20
, 15.301, -0.32, -0.25, 1.64
, 15.357, -0.29, 0.52, 1.08
, 15.426, -0.81, 0.07, -0.02
, 15.561, -0.39, -0.01, 0.76
, 15.565, -0.63, 0.03, 0.78
, 15.609, -0.54, 0.23, 0.67
, 15.673, -0.78, 0.06, 0.86
, 15.759, -0.59, 0.11, 0.51
, 15.809, -0.70, 0.17, 0.88
, 15.866, -0.65, 0.13, 0.66
, 15.930, -0.66, 0.11, 0.61
, 16.060, -0.67, 0.12, 0.85
, 16.066, -0.79, 0.22, 0.74
, 16.126, -0.68, 0.27, 0.93
, 16.200, -0.55, 0.27, 0.59
, 16.249, -0.73, 0.13, 0.83
, 16.309, -0.69, 0.19, 0.63
, 16.374, -0.72, 0.17, 0.79
, 16.447, -0.78, 0.09, 0.53
, 16.561, -0.67, 0.02, 0.80
, 16.569, -0.76, 0.00, 0.67
, 16.651, -0.70, 0.01, 0.66
, 16.690, -0.80, 0.06, 0.78
, 16.756, -0.78, -0.02, 0.59
, 16.851, -0.79, 0.00, 0.64
, 16.887, -0.91, 0.14, 0.67
, 16.960, -0.85, 0.35, 0.66
, 17.028, -0.85, 0.21, 0.93
, 17.071, -0.77, 0.18, 0.66
, 17.135, -0.78, 0.11, 0.65
, 17.204, -0.72, 0.34, 0.60
, 17.267, -0.90, 0.38, 0.98
, 17.327, -0.83, 0.34, 0.85
, 17.391, -0.79, 0.39, 0.47
, 17.474, -0.78, 0.22, 0.74
, 17.530, -0.87, 0.33, 0.68
, 17.581, -0.79, 0.27, 0.73
