
 ,time,x,y,z
, 8.717, -0.32, -0.34, -0.77
, 8.778, -0.25, -0.42, -0.87
, 8.841, -0.03, -0.46, -0.86
, 8.905, -0.12, -0.37, -1.24
, 8.919, -0.13, -0.42, -0.99
, 8.966, -0.37, -0.34, -0.73
, 9.030, -0.39, -0.41, -0.63
, 9.095, -0.31, -0.20, -0.93
, 9.127, -0.36, -0.32, -0.76
, 9.159, 0.06, -0.45, -0.88
, 9.222, -0.01, -0.41, -1.54
, 9.285, -0.23, -0.29, -0.65
, 9.321, -0.17, -0.37, -0.68
, 9.351, -0.35, -0.38, -0.53
, 9.416, -0.30, -0.27, -0.88
, 9.481, -0.34, -0.36, -0.59
, 9.526, -0.28, -0.36, -0.74
, 9.539, -0.21, -0.46, -0.75
, 9.603, -0.12, -0.40, -0.88
, 9.670, -0.21, -0.30, -1.01
, 9.724, -0.19, -0.31, -0.89
, 9.729, -0.25, -0.23, -0.78
, 9.793, -0.39, -0.29, -0.88
, 9.859, -0.20, -0.38, -0.68
, 9.924, -0.06, -0.65, -0.97
, 9.929, -0.22, -0.44, -0.84
, 9.984, -0.27, -0.46, -0.81
, 10.049, -0.30, -0.47, -0.76
, 10.111, -0.45, -0.30, -0.78
, 10.132, -0.34, -0.41, -0.78
, 10.181, -0.25, -0.25, -0.84
, 10.245, -0.26, -0.29, -0.97
, 10.310, -0.11, -0.32, -0.82
, 10.334, -0.21, -0.29, -0.88
, 10.372, -0.35, -0.49, -1.25
, 10.433, -0.28, -0.43, -0.87
, 10.492, -0.21, -0.41, -0.52
, 10.529, -0.32, -0.43, -1.03
, 10.555, -0.32, -0.38, -0.98
, 10.617, -0.34, -0.34, -0.64
, 10.681, -0.25, -0.27, -0.96
, 10.728, -0.26, -0.33, -0.94
, 10.744, -0.19, -0.37, -1.21
, 10.808, -0.17, -0.33, -0.51
, 10.871, -0.38, -0.31, -1.00
, 10.930, -0.29, -0.35, -0.81
, 10.935, -0.33, -0.41, -0.93
, 10.999, -0.21, -0.36, -0.67
, 11.063, -0.33, -0.30, -1.02
, 11.126, -0.29, -0.48, -1.03
, 11.132, -0.28, -0.38, -0.91
, 11.190, -0.34, -0.37, -0.59
, 11.253, -0.33, -0.35, -0.72
, 11.316, -0.21, -0.38, -0.80
, 11.332, -0.27, -0.36, -0.86
, 11.380, -0.29, -0.32, -1.09
, 11.444, -0.32, -0.30, -0.77
