
unknown,time,index,x,y,z,norm,unknown2,
0014.4F01.0000.04D2,0,0,0.0,0.0,0.0,0.0,false,
0014.4F01.0000.04D2,1,1,0.0,0.0,0.0,0.0,false,
0014.4F01.0000.04D2,2,2,0.0,0.0,0.0,0.0,false,
0014.4F01.0000.04D2,3,3,0.0,0.0,0.0,0.0,false,
0014.4F01.0000.04D2,1889,4,-0.14516129032258066,0.11290322580645161,0.9516129032258065,0.9692193024241043,false,
0014.4F01.0000.04D2,1898,5,-0.12903225806451613,0.11290322580645161,0.9354838709677419,0.9510659992132624,false,
0014.4F01.0000.04D2,1908,6,-0.16129032258064516,0.0967741935483871,0.9838709677419355,1.0016895196918865,false,
0014.4F01.0000.04D2,1918,7,-0.16129032258064516,0.0967741935483871,1.0161290322580645,1.0333915148155708,false,
0014.4F01.0000.04D2,1928,8,-0.11290322580645161,0.04838709677419355,0.9354838709677419,0.9435139227232042,false,
0014.4F01.0000.04D2,1938,9,-0.14516129032258066,0.08064516129032258,0.967741935483871,0.9818858874338339,false,
0014.4F01.0000.04D2,1948,10,-0.11290322580645161,0.08064516129032258,0.967741935483871,0.9776375781091444,false,
0014.4F01.0000.04D2,1958,11,-0.14516129032258066,0.08064516129032258,1.0,1.0136939588690754,false,
0014.4F01.0000.04D2,1969,12,-0.16129032258064516,0.06451612903225806,1.0,1.0149763046807918,false,
0014.4F01.0000.04D2,1978,13,-0.11290322580645161,0.06451612903225806,0.9838709677419355,0.9924271008332362,false,
0014.4F01.0000.04D2,1988,14,-0.16129032258064516,0.0967741935483871,1.0,1.0175361481024197,false,
0014.4F01.0000.04D2,1998,15,-0.12903225806451613,0.11290322580645161,0.967741935483871,0.9828127571988468,false,
0014.4F01.0000.04D2,2008,16,-0.0967741935483871,0.0967741935483871,0.9838709677419355,0.9933441348492144,false,
0014.4F01.0000.04D2,2018,17,-0.12903225806451613,0.0967741935483871,0.9516129032258065,0.9651847935727214,false,
0014.4F01.0000.04D2,2028,18,-0.11290322580645161,0.11290322580645161,0.9516129032258065,0.96491522652555,false,
0014.4F01.0000.04D2,2038,19,-0.16129032258064516,0.0967741935483871,0.9354838709677419,0.9542064166289702,false,
0014.4F01.0000.04D2,2049,20,-0.14516129032258066,0.14516129032258066,1.0,1.0208543482868813,false,
0014.4F01.0000.04D2,2058,21,-0.16129032258064516,0.0967741935483871,1.0,1.0175361481024197,false,
0014.4F01.0000.04D2,2068,22,-0.12903225806451613,0.0967741935483871,0.967741935483871,0.9810907306932614,false,
0014.4F01.0000.04D2,2078,23,-0.11290322580645161,0.11290322580645161,1.0,1.0126669130543395,false,
0014.4F01.0000.04D2,2088,24,-0.16129032258064516,0.14516129032258066,0.9516129032258065,0.9760396948649851,false,
0014.4F01.0000.04D2,2098,25,-0.1774193548387097,0.16129032258064516,1.0161290322580645,1.0440356343665973,false,
0014.4F01.0000.04D2,2108,26,-0.22580645161290322,0.20967741935483872,0.9516129032258065,1.0002601118524939,false,
0014.4F01.0000.04D2,2118,27,-0.20967741935483872,0.12903225806451613,0.9354838709677419,0.9673386256370224,false,
0014.4F01.0000.04D2,2129,28,-0.1774193548387097,0.11290322580645161,0.967741935483871,0.9903278343876615,false,
0014.4F01.0000.04D2,2138,29,-0.20967741935483872,0.1774193548387097,0.967741935483871,1.0059655567427532,false,
0014.4F01.0000.04D2,2148,30,-0.22580645161290322,0.0967741935483871,1.0806451612903225,1.1082182829872183,false,
0014.4F01.0000.04D2,2158,31,-0.08064516129032258,0.11290322580645161,1.0161290322580645,1.0255578923857762,false,
0014.4F01.0000.04D2,2168,32,-0.11290322580645161,0.0967741935483871,1.0161290322580645,1.0269520890149424,false,
0014.4F01.0000.04D2,2178,33,-0.08064516129032258,0.06451612903225806,1.0161290322580645,1.0213638838056491,false,
0014.4F01.0000.04D2,2188,34,-0.0967741935483871,0.11290322580645161,0.8870967741935484,0.8994737737805604,false,
0014.4F01.0000.04D2,2198,35,-0.0967741935483871,0.16129032258064516,0.9193548387096774,0.9383992392121843,false,
0014.4F01.0000.04D2,2209,36,-0.12903225806451613,0.11290322580645161,0.967741935483871,0.9828127571988468,false,
0014.4F01.0000.04D2,2218,37,-0.11290322580645161,0.1774193548387097,1.0161290322580645,1.0376622649333438,false,
0014.4F01.0000.04D2,2228,38,-0.1935483870967742,0.0967741935483871,0.9838709677419355,1.007386869008206,false,
0014.4F01.0000.04D2,2238,39,-0.11290322580645161,0.11290322580645161,0.9516129032258065,0.96491522652555,false,
0014.4F01.0000.04D2,2248,40,-0.16129032258064516,0.12903225806451613,1.0161290322580645,1.03690988131906,false,
0014.4F01.0000.04D2,2258,41,-0.16129032258064516,0.06451612903225806,1.0,1.0149763046807918,false,
0014.4F01.0000.04D2,2268,42,-0.12903225806451613,0.11290322580645161,1.0161290322580645,1.0304924416105348,false,
0014.4F01.0000.04D2,2278,43,-0.11290322580645161,0.08064516129032258,1.0,1.0095795067437952,false,
0014.4F01.0000.04D2,2289,44,-0.12903225806451613,0.08064516129032258,0.9838709677419355,0.995567700774901,false,
0014.4F01.0000.04D2,2298,45,-0.14516129032258066,0.08064516129032258,0.967741935483871,0.9818858874338339,false,
0014.4F01.0000.04D2,2308,46,-0.0967741935483871,0.0967741935483871,0.967741935483871,0.9773714456479431,false,
0014.4F01.0000.04D2,2318,47,-0.0967741935483871,0.11290322580645161,0.9516129032258065,0.9631612017312011,false,
0014.4F01.0000.04D2,2328,48,-0.12903225806451613,0.1774193548387097,1.0161290322580645,1.0395408415691625,false,
0014.4F01.0000.04D2,2338,49,-0.08064516129032258,0.11290322580645161,0.9354838709677419,0.945717110598003,false,
0014.4F01.0000.04D2,2348,50,-0.08064516129032258,0.11290322580645161,0.9516129032258065,0.9616745281137964,false,
0014.4F01.0000.04D2,2358,51,-0.12903225806451613,0.0967741935483871,0.9838709677419355,0.9970038361629414,false,
0014.4F01.0000.04D2,2369,52,-0.16129032258064516,0.11290322580645161,0.9838709677419355,1.0033761945158575,false,
0014.4F01.0000.04D2,2378,53,-0.12903225806451613,0.1774193548387097,0.9838709677419355,1.0080322575483707,false,
0014.4F01.0000.04D2,2388,54,-0.0967741935483871,0.16129032258064516,1.0161290322580645,1.0333915148155708,false,
0014.4F01.0000.04D2,2398,55,-0.1935483870967742,0.11290322580645161,0.967741935483871,0.9933441348492144,false,
0014.4F01.0000.04D2,2408,56,-0.14516129032258066,0.0967741935483871,0.967741935483871,0.9833420048178182,false,
0014.4F01.0000.04D2,2418,57,-0.14516129032258066,0.0967741935483871,0.9516129032258065,0.9674730809334725,false,
0014.4F01.0000.04D2,2428,58,-0.14516129032258066,0.08064516129032258,0.9354838709677419,0.9501081596789123,false,
0014.4F01.0000.04D2,2438,59,-0.14516129032258066,0.16129032258064516,1.0161290322580645,1.0390402198971875,false,
0014.4F01.0000.04D2,2449,60,-0.20967741935483872,0.0967741935483871,0.967741935483871,0.9949142266639444,false,
0014.4F01.0000.04D2,2458,61,-0.1774193548387097,0.0967741935483871,1.0,1.0202170710237721,false,
0014.4F01.0000.04D2,2468,62,-0.16129032258064516,0.11290322580645161,1.0161290322580645,1.035026529492545,false,
0014.4F01.0000.04D2,2478,63,-0.0967741935483871,0.06451612903225806,0.9354838709677419,0.9426863997549972,false,
0014.4F01.0000.04D2,2488,64,-0.14516129032258066,0.11290322580645161,0.967741935483871,0.9850600957808046,false,
0014.4F01.0000.04D2,2498,65,-0.14516129032258066,0.14516129032258066,1.0,1.0208543482868813,false,
0014.4F01.0000.04D2,2508,66,-0.12903225806451613,0.11290322580645161,0.967741935483871,0.9828127571988468,false,
