
 ,time,x,y,z
, 16.847, -0.62, 0.07, -0.65
, 16.863, -0.62, 0.07, -0.65
, 16.892, -0.62, 0.07, -0.65
, 16.904, -0.62, 0.07, -0.65
, 16.908, -0.62, 0.07, -0.66
, 16.923, -0.62, 0.07, -0.66
, 16.944, -0.61, 0.07, -0.67
, 16.964, -0.61, 0.08, -0.66
, 16.983, -0.60, 0.07, -0.67
, 17.010, -0.61, 0.07, -0.67
, 17.028, -0.61, 0.07, -0.66
, 17.047, -0.62, 0.07, -0.66
, 17.065, -0.62, 0.07, -0.65
, 17.088, -0.62, 0.08, -0.66
, 17.111, -0.61, 0.07, -0.66
, 17.114, -0.62, 0.07, -0.66
, 17.126, -0.62, 0.07, -0.65
, 17.146, -0.62, 0.06, -0.66
, 17.166, -0.62, 0.07, -0.66
, 17.189, -0.62, 0.07, -0.67
, 17.208, -0.62, 0.07, -0.66
, 17.225, -0.61, 0.07, -0.67
, 17.245, -0.60, 0.08, -0.67
, 17.270, -0.60, 0.08, -0.67
, 17.291, -0.61, 0.07, -0.66
, 17.311, -0.61, 0.07, -0.66
, 17.315, -0.62, 0.06, -0.65
, 17.330, -0.63, 0.06, -0.65
, 17.346, -0.63, 0.07, -0.64
, 17.372, -0.63, 0.07, -0.65
, 17.388, -0.62, 0.08, -0.65
, 17.412, -0.62, 0.07, -0.66
, 17.428, -0.61, 0.07, -0.66
, 17.455, -0.60, 0.07, -0.67
, 17.467, -0.61, 0.07, -0.67
, 17.487, -0.61, 0.07, -0.66
, 17.513, -0.62, 0.07, -0.66
, 17.517, -0.61, 0.07, -0.66
, 17.527, -0.62, 0.07, -0.66
, 17.551, -0.62, 0.07, -0.66
, 17.572, -0.62, 0.07, -0.65
, 17.589, -0.62, 0.07, -0.66
, 17.608, -0.62, 0.07, -0.66
, 17.636, -0.62, 0.07, -0.66
, 17.650, -0.62, 0.07, -0.66
, 17.668, -0.61, 0.07, -0.66
, 17.690, -0.61, 0.07, -0.66
, 17.711, -0.62, 0.07, -0.66
, 17.714, -0.62, 0.07, -0.65
, 17.730, -0.62, 0.07, -0.65
, 17.750, -0.62, 0.07, -0.66
, 17.773, -0.62, 0.07, -0.66
, 17.789, -0.62, 0.07, -0.66
, 17.819, -0.62, 0.07, -0.66
, 17.830, -0.61, 0.07, -0.66
, 17.851, -0.62, 0.07, -0.66
, 17.880, -0.62, 0.07, -0.66
, 17.890, -0.62, 0.07, -0.66
, 17.911, -0.62, 0.07, -0.65
, 17.915, -0.62, 0.07, -0.66
, 17.939, -0.62, 0.07, -0.65
, 17.956, -0.62, 0.07, -0.65
, 17.970, -0.62, 0.07, -0.66
, 17.992, -0.62, 0.07, -0.66
, 18.010, -0.61, 0.07, -0.65
, 18.029, -0.62, 0.07, -0.66
, 18.051, -0.62, 0.07, -0.66
, 18.069, -0.62, 0.07, -0.66
, 18.092, -0.62, 0.07, -0.66
, 18.110, -0.62, 0.07, -0.66
, 18.112, -0.62, 0.07, -0.66
, 18.131, -0.62, 0.07, -0.66
, 18.152, -0.62, 0.07, -0.66
, 18.170, -0.62, 0.07, -0.66
, 18.194, -0.62, 0.07, -0.66
, 18.211, -0.62, 0.07, -0.65
, 18.234, -0.62, 0.07, -0.65
, 18.256, -0.62, 0.08, -0.66
, 18.275, -0.62, 0.07, -0.66
, 18.296, -0.62, 0.07, -0.66
, 18.315, -0.62, 0.07, -0.66
, 18.319, -0.62, 0.07, -0.66
, 18.340, -0.62, 0.07, -0.66
, 18.358, -0.61, 0.08, -0.66
, 18.373, -0.62, 0.07, -0.66
, 18.397, -0.62, 0.07, -0.66
, 18.420, -0.62, 0.07, -0.66
, 18.434, -0.62, 0.07, -0.66
, 18.455, -0.62, 0.07, -0.65
, 18.477, -0.62, 0.07, -0.65
, 18.501, -0.62, 0.07, -0.66
, 18.517, -0.62, 0.07, -0.66
, 18.520, -0.62, 0.07, -0.66
, 18.534, -0.61, 0.07, -0.66
, 18.564, -0.61, 0.07, -0.66
, 18.576, -0.62, 0.07, -0.65
, 18.595, -0.62, 0.07, -0.66
, 18.615, -0.62, 0.07, -0.66
, 18.637, -0.61, 0.07, -0.65
, 18.664, -0.61, 0.07, -0.66
, 18.677, -0.61, 0.08, -0.66
, 18.696, -0.62, 0.07, -0.67
, 18.720, -0.62, 0.07, -0.66
, 18.724, -0.62, 0.07, -0.67
, 18.737, -0.62, 0.07, -0.66
, 18.760, -0.61, 0.07, -0.65
, 18.777, -0.62, 0.07, -0.65
, 18.803, -0.62, 0.08, -0.66
, 18.817, -0.62, 0.07, -0.65
, 18.837, -0.62, 0.07, -0.66
, 18.863, -0.62, 0.07, -0.66
, 18.879, -0.61, 0.07, -0.66
, 18.898, -0.62, 0.08, -0.66
, 18.920, -0.62, 0.07, -0.66
, 18.925, -0.62, 0.06, -0.66
, 18.938, -0.61, 0.07, -0.65
, 18.958, -0.62, 0.07, -0.66
, 18.980, -0.63, 0.08, -0.66
, 19.004, -0.62, 0.08, -0.65
, 19.026, -0.62, 0.07, -0.66
, 19.038, -0.62, 0.06, -0.65
, 19.060, -0.62, 0.07, -0.66
, 19.089, -0.62, 0.07, -0.66
, 19.100, -0.62, 0.07, -0.66
, 19.120, -0.62, 0.07, -0.66
, 19.123, -0.62, 0.07, -0.66
, 19.145, -0.62, 0.07, -0.66
, 19.159, -0.62, 0.07, -0.66
, 19.180, -0.62, 0.07, -0.66
, 19.207, -0.62, 0.07, -0.66
, 19.220, -0.62, 0.07, -0.66
, 19.240, -0.62, 0.07, -0.66
, 19.261, -0.62, 0.07, -0.66
, 19.280, -0.62, 0.07, -0.66
, 19.309, -0.62, 0.07, -0.66
, 19.321, -0.62, 0.07, -0.65
, 19.325, -0.62, 0.07, -0.66
, 19.341, -0.62, 0.07, -0.66
, 19.370, -0.62, 0.07, -0.66
, 19.381, -0.62, 0.07, -0.66
, 19.401, -0.61, 0.07, -0.66
, 19.430, -0.62, 0.07, -0.66
, 19.445, -0.62, 0.07, -0.66
, 19.461, -0.61, 0.07, -0.66
, 19.487, -0.61, 0.07, -0.65
, 19.503, -0.61, 0.07, -0.66
, 19.524, -0.62, 0.07, -0.66
, 19.528, -0.62, 0.08, -0.66
, 19.543, -0.62, 0.07, -0.66
, 19.563, -0.62, 0.07, -0.66
, 19.586, -0.62, 0.07, -0.65
, 19.604, -0.61, 0.07, -0.66
, 19.622, -0.62, 0.07, -0.66
, 19.642, -0.62, 0.07, -0.65
, 19.663, -0.62, 0.07, -0.66
, 19.683, -0.62, 0.07, -0.66
, 19.706, -0.61, 0.07, -0.66
, 19.727, -0.62, 0.07, -0.66
, 19.731, -0.62, 0.07, -0.65
, 19.750, -0.62, 0.07, -0.66
, 19.763, -0.62, 0.07, -0.66
, 19.790, -0.62, 0.07, -0.66
, 19.811, -0.62, 0.07, -0.66
, 19.826, -0.62, 0.07, -0.66
, 19.847, -0.62, 0.07, -0.66
, 19.871, -0.61, 0.07, -0.66
, 19.891, -0.62, 0.07, -0.66
, 19.905, -0.62, 0.07, -0.66
, 19.933, -0.62, 0.07, -0.66
, 19.937, -0.62, 0.07, -0.66
, 19.945, -0.62, 0.07, -0.66
, 19.968, -0.62, 0.07, -0.66
, 19.991, -0.62, 0.07, -0.66
, 20.014, -0.62, 0.07, -0.66
, 20.027, -0.62, 0.07, -0.65
, 20.047, -0.62, 0.07, -0.65
, 20.071, -0.62, 0.07, -0.65
, 20.092, -0.62, 0.07, -0.66
, 20.112, -0.61, 0.07, -0.66
, 20.128, -0.62, 0.07, -0.66
, 20.131, -0.61, 0.07, -0.66
, 20.149, -0.62, 0.07, -0.66
, 20.173, -0.61, 0.07, -0.66
, 20.187, -0.61, 0.07, -0.66
, 20.485, -0.62, 0.07, -0.66
, 20.550, -0.62, 0.07, -0.66
, 20.612, -0.62, 0.07, -0.66
, 20.683, -0.62, 0.07, -0.66
, 20.732, -0.62, 0.07, -0.66
, 20.740, -0.62, 0.07, -0.66
, 20.807, -0.62, 0.07, -0.66
, 20.868, -0.62, 0.07, -0.66
, 20.933, -0.62, 0.07, -0.66
, 20.937, -0.62, 0.07, -0.66
, 20.996, -0.62, 0.07, -0.66
, 21.061, -0.61, 0.07, -0.66
, 21.124, -0.62, 0.07, -0.66
, 21.136, -0.62, 0.07, -0.66
, 21.189, -0.62, 0.07, -0.66
, 21.253, -0.62, 0.07, -0.66
, 21.315, -0.62, 0.07, -0.66
, 21.342, -0.62, 0.07, -0.66
, 21.379, -0.62, 0.07, -0.66
, 21.441, -0.62, 0.07, -0.66
, 21.503, -0.62, 0.07, -0.66
, 21.541, -0.62, 0.07, -0.66
, 21.566, -0.62, 0.07, -0.66
, 21.630, -0.61, 0.07, -0.65
, 21.696, -0.62, 0.07, -0.66
, 21.738, -0.62, 0.07, -0.66
, 21.758, -0.61, 0.07, -0.66
, 21.824, -0.62, 0.07, -0.66
, 21.887, -0.62, 0.07, -0.66
, 21.941, -0.62, 0.07, -0.66
, 21.948, -0.62, 0.07, -0.66
, 22.015, -0.61, 0.07, -0.66
, 22.076, -0.62, 0.07, -0.66
, 22.143, -0.62, 0.07, -0.66
, 22.147, -0.62, 0.07, -0.65
, 22.203, -0.62, 0.07, -0.66
, 22.270, -0.61, 0.07, -0.66
, 22.331, -0.62, 0.07, -0.66
, 22.344, -0.62, 0.07, -0.66
, 22.395, -0.62, 0.07, -0.66
, 22.462, -0.62, 0.07, -0.66
, 22.527, -0.62, 0.07, -0.66
, 22.544, -0.62, 0.07, -0.66
, 22.591, -0.62, 0.07, -0.66
, 22.649, -0.61, 0.07, -0.66
, 22.712, -0.62, 0.07, -0.66
, 22.749, -0.62, 0.07, -0.66
, 22.777, -0.62, 0.07, -0.66
, 22.841, -0.62, 0.07, -0.66
, 22.904, -0.62, 0.07, -0.66
, 22.953, -0.62, 0.07, -0.66
, 22.967, -0.62, 0.07, -0.66
, 23.031, -0.62, 0.07, -0.66
, 23.094, -0.62, 0.07, -0.66
, 23.151, -0.62, 0.07, -0.66
, 23.156, -0.62, 0.07, -0.66
, 23.221, -0.62, 0.07, -0.66
, 23.282, -0.62, 0.07, -0.66
, 23.352, -0.62, 0.07, -0.66
, 23.356, -0.62, 0.07, -0.66
, 23.412, -0.62, 0.07, -0.66
, 23.477, -0.61, 0.07, -0.66
, 23.540, -0.62, 0.07, -0.66
, 23.553, -0.62, 0.07, -0.66
, 23.605, -0.62, 0.07, -0.66
, 23.668, -0.62, 0.07, -0.66
, 23.732, -0.62, 0.07, -0.66
, 23.753, -0.62, 0.07, -0.66
, 23.798, -0.62, 0.07, -0.66
, 23.857, -0.62, 0.07, -0.66
, 23.920, -0.62, 0.07, -0.66
, 23.957, -0.62, 0.07, -0.66
, 23.985, -0.62, 0.07, -0.66
, 24.047, -0.62, 0.07, -0.66
, 24.111, -0.62, 0.07, -0.66
, 24.159, -0.62, 0.07, -0.66
, 24.173, -0.62, 0.07, -0.66
, 24.239, -0.62, 0.07, -0.66
, 24.301, -0.62, 0.07, -0.66
, 24.361, -0.62, 0.07, -0.66
, 24.367, -0.62, 0.07, -0.66
, 24.431, -0.62, 0.07, -0.66
, 24.492, -0.62, 0.07, -0.66
, 24.555, -0.62, 0.07, -0.66
, 24.560, -0.62, 0.07, -0.66
, 24.621, -0.62, 0.07, -0.66
, 24.683, -0.62, 0.07, -0.66
, 24.748, -0.62, 0.07, -0.66
, 24.759, -0.62, 0.07, -0.66
, 24.811, -0.62, 0.07, -0.66
, 24.874, -0.62, 0.07, -0.66
, 24.941, -0.62, 0.07, -0.66
, 24.964, -0.62, 0.07, -0.66
, 25.000, -0.62, 0.07, -0.66
, 25.066, -0.62, 0.07, -0.66
, 25.129, -0.62, 0.07, -0.66
, 25.164, -0.62, 0.07, -0.66
, 25.193, -0.62, 0.07, -0.66
, 25.255, -0.62, 0.07, -0.66
, 25.326, -0.62, 0.07, -0.66
, 25.372, -0.62, 0.07, -0.66
, 25.382, -0.62, 0.07, -0.66
, 25.454, -0.61, 0.07, -0.66
, 25.510, -0.62, 0.07, -0.66
, 25.573, -0.62, 0.07, -0.66
, 25.577, -0.62, 0.07, -0.66
, 25.637, -0.62, 0.07, -0.66
, 25.700, -0.62, 0.07, -0.66
, 25.765, -0.62, 0.07, -0.66
, 25.769, -0.62, 0.07, -0.66
, 25.827, -0.62, 0.07, -0.66
, 25.891, -0.62, 0.07, -0.65
, 25.954, -0.62, 0.07, -0.66
, 25.970, -0.62, 0.07, -0.66
, 26.018, -0.62, 0.07, -0.66
, 26.082, -0.62, 0.07, -0.66
, 26.147, -0.62, 0.07, -0.66
, 26.170, -0.62, 0.07, -0.66
, 26.216, -0.62, 0.07, -0.66
, 26.276, -0.62, 0.07, -0.66
, 26.335, -0.62, 0.07, -0.66
, 26.372, -0.62, 0.07, -0.66
, 26.401, -0.62, 0.07, -0.66
