
 ,time,x,y,z
, 6.243, 0.25, 0.97, 0.21
, 6.261, 0.33, 0.90, 0.16
, 6.286, 0.39, 0.92, 0.09
, 6.297, 0.19, 0.59, 0.05
, 6.317, 0.19, 0.86, 0.24
, 6.338, 0.01, 0.93, 0.05
, 6.360, -0.06, 1.15, 0.12
, 6.378, -0.10, 1.30, 0.16
, 6.398, -0.17, 1.36, 0.10
, 6.418, -0.26, 1.30, -0.07
, 6.439, 0.03, 1.05, 0.07
, 6.448, -0.24, 1.18, -0.22
, 6.456, -0.21, 0.96, -0.13
, 6.477, -0.24, 0.91, -0.07
, 6.499, -0.20, 0.90, -0.00
, 6.519, -0.24, 0.90, 0.01
, 6.536, -0.28, 0.89, -0.16
, 6.556, -0.27, 1.00, -0.22
, 6.576, -0.33, 0.97, -0.32
, 6.597, -0.33, 0.90, -0.29
, 6.617, -0.29, 0.85, -0.26
, 6.639, -0.26, 0.91, -0.15
, 6.640, -0.25, 0.77, -0.11
, 6.660, -0.16, 0.76, -0.01
, 6.680, -0.06, 0.73, 0.02
, 6.700, -0.12, 0.74, 0.01
, 6.720, -0.16, 0.75, -0.12
, 6.740, -0.15, 0.74, -0.16
, 6.758, -0.18, 0.84, -0.10
, 6.780, -0.28, 0.92, -0.12
, 6.800, -0.37, 0.89, -0.17
, 6.820, -0.36, 0.82, -0.27
, 6.840, -0.22, 0.80, -0.11
, 6.842, -0.38, 0.86, -0.20
, 6.859, -0.45, 0.93, -0.13
, 6.879, -0.54, 0.92, -0.23
, 6.900, -0.58, 0.98, -0.26
, 6.921, -0.50, 1.09, -0.13
, 6.941, -0.43, 1.00, -0.01
, 6.961, -0.35, 0.85, -0.14
, 6.985, -0.26, 0.78, -0.11
, 7.004, -0.17, 0.69, -0.10
, 7.026, -0.07, 0.62, -0.11
, 7.044, -0.34, 0.85, -0.14
, 7.049, -0.07, 0.64, -0.15
, 7.062, -0.13, 0.71, -0.16
, 7.082, -0.21, 0.80, -0.12
, 7.106, -0.28, 0.88, -0.11
, 7.133, -0.33, 0.92, -0.10
, 7.143, -0.34, 0.95, -0.13
, 7.164, -0.31, 0.96, -0.18
, 7.188, -0.23, 0.91, -0.20
, 7.204, -0.19, 0.87, -0.14
, 7.224, -0.23, 0.90, -0.04
, 7.246, -0.26, 0.89, -0.12
, 7.249, -0.30, 0.98, 0.01
, 7.262, -0.35, 1.05, -0.02
, 7.283, -0.35, 1.08, -0.02
, 7.304, -0.30, 1.07, -0.02
, 7.323, -0.26, 0.99, -0.03
, 7.344, -0.21, 0.97, -0.08
, 7.363, -0.18, 0.89, -0.12
, 7.383, -0.16, 0.79, -0.10
, 7.403, -0.19, 0.78, -0.10
, 7.423, -0.20, 0.84, -0.08
, 7.443, -0.24, 0.94, -0.05
, 7.444, -0.24, 0.94, -0.06
, 7.464, -0.28, 0.99, -0.02
, 7.490, -0.26, 0.99, -0.05
, 7.505, -0.22, 0.94, -0.08
, 7.525, -0.19, 0.95, -0.09
, 7.548, -0.19, 0.98, -0.08
, 7.569, -0.19, 0.99, -0.04
, 7.586, -0.19, 0.96, -0.04
, 7.610, -0.21, 0.91, -0.05
, 7.627, -0.23, 0.89, -0.08
, 7.648, -0.22, 0.95, -0.06
, 7.652, -0.21, 0.92, -0.11
, 7.666, -0.19, 0.99, -0.07
, 7.687, -0.22, 0.98, -0.02
, 7.709, -0.24, 0.88, -0.04
, 7.730, -0.22, 0.83, -0.06
, 7.750, -0.17, 0.92, -0.04
, 7.773, -0.15, 0.98, -0.06
, 7.790, -0.17, 1.00, -0.07
, 7.811, -0.20, 0.94, -0.09
, 7.833, -0.20, 0.89, -0.08
, 7.851, -0.19, 0.93, -0.06
, 7.855, -0.16, 0.91, -0.07
, 7.875, -0.16, 0.95, -0.07
, 7.891, -0.18, 0.93, -0.06
, 7.912, -0.17, 0.88, -0.05
, 7.936, -0.23, 0.91, -0.06
, 7.951, -0.22, 0.94, -0.10
, 7.972, -0.20, 0.94, -0.07
, 7.990, -0.13, 0.85, 0.06
, 8.015, -0.22, 0.85, -0.04
, 8.038, -0.26, 0.89, -0.14
, 8.052, -0.20, 0.91, -0.06
, 8.056, -0.26, 0.94, -0.12
, 8.072, -0.24, 0.95, -0.07
, 8.090, -0.20, 0.95, -0.04
, 8.116, -0.19, 0.94, -0.11
, 8.140, -0.18, 0.98, -0.17
, 8.151, -0.19, 0.90, -0.07
, 8.171, -0.29, 0.86, -0.02
, 8.190, -0.29, 0.86, -0.07
, 8.212, -0.29, 0.91, -0.14
, 8.240, -0.31, 0.86, -0.09
, 8.252, -0.31, 0.87, -0.10
, 8.256, -0.25, 0.91, -0.09
, 8.271, -0.32, 0.92, -0.17
, 8.294, -0.33, 0.92, -0.16
, 8.317, -0.32, 0.84, -0.05
, 8.334, -0.34, 0.87, -0.07
, 8.353, -0.36, 0.90, -0.13
, 8.380, -0.39, 0.89, -0.13
, 8.393, -0.40, 0.87, -0.12
, 8.413, -0.39, 0.85, -0.11
, 8.439, -0.36, 0.87, -0.11
, 8.454, -0.36, 0.88, -0.12
, 8.458, -0.38, 0.90, -0.18
, 8.473, -0.41, 0.83, -0.12
, 8.503, -0.38, 0.78, -0.01
, 8.514, -0.37, 0.84, -0.09
, 8.534, -0.39, 0.83, -0.09
, 8.561, -0.44, 0.82, -0.11
, 8.573, -0.40, 0.81, -0.05
, 8.594, -0.41, 0.82, -0.06
, 8.616, -0.45, 0.92, -0.16
, 8.634, -0.50, 0.96, -0.21
, 8.665, -0.43, 0.85, -0.10
, 8.670, -0.50, 0.88, -0.10
, 8.676, -0.47, 0.85, 0.01
, 8.694, -0.49, 0.91, 0.03
, 8.716, -0.43, 0.88, -0.15
, 8.736, -0.48, 0.81, -0.08
, 8.757, -0.43, 0.81, -0.10
, 8.785, -0.42, 0.84, -0.07
, 8.797, -0.44, 0.84, -0.00
, 8.817, -0.47, 0.85, -0.08
, 8.839, -0.46, 0.88, -0.22
, 8.858, -0.45, 0.85, -0.07
, 8.872, -0.41, 0.85, -0.07
, 8.877, -0.41, 0.83, -0.03
, 8.896, -0.44, 0.80, 0.02
, 8.914, -0.43, 0.83, -0.05
, 9.187, -0.41, 0.86, -0.08
, 9.250, -0.42, 0.84, -0.08
, 9.314, -0.38, 0.89, -0.12
, 9.378, -0.44, 0.83, -0.13
, 9.446, -0.43, 0.83, -0.08
, 9.460, -0.41, 0.85, -0.09
, 9.507, -0.42, 0.87, -0.13
, 9.570, -0.45, 0.84, -0.16
, 9.637, -0.42, 0.81, -0.08
, 9.663, -0.43, 0.84, -0.12
, 9.705, -0.31, 0.85, -0.04
, 9.770, -0.39, 0.88, -0.11
, 9.835, -0.40, 0.87, -0.08
, 9.864, -0.40, 0.86, -0.09
, 9.891, -0.43, 0.84, -0.07
, 9.951, -0.45, 0.79, -0.05
, 10.016, -0.41, 0.89, -0.09
, 10.063, -0.42, 0.85, -0.09
, 10.078, -0.40, 0.88, -0.12
, 10.144, -0.41, 0.84, -0.08
, 10.207, -0.43, 0.84, -0.09
, 10.277, -0.41, 0.86, -0.11
, 10.281, -0.39, 0.82, -0.06
, 10.335, -0.39, 0.82, -0.06
, 10.405, -0.42, 0.86, -0.13
, 10.469, -0.41, 0.85, -0.10
, 10.474, -0.41, 0.86, -0.10
, 10.534, -0.42, 0.88, -0.12
, 10.595, -0.42, 0.93, -0.12
, 10.653, -0.36, 0.75, -0.12
, 10.668, -0.40, 0.85, -0.12
, 10.716, -0.38, 0.81, -0.25
, 10.781, -0.37, 0.77, -0.24
, 10.848, -0.37, 0.86, -0.26
, 10.871, -0.38, 0.81, -0.25
, 10.913, -0.38, 0.82, -0.14
, 10.978, -0.38, 0.85, -0.19
, 11.043, -0.38, 0.86, -0.19
, 11.075, -0.38, 0.84, -0.16
, 11.106, -0.38, 0.84, -0.16
, 11.169, -0.37, 0.80, -0.08
, 11.225, -0.36, 0.80, -0.17
, 11.273, -0.38, 0.84, -0.17
, 11.296, -0.39, 0.92, -0.25
, 11.353, -0.41, 0.88, -0.16
, 11.420, -0.38, 0.82, -0.11
, 11.484, -0.39, 0.84, -0.15
, 11.488, -0.38, 0.84, -0.18
, 11.543, -0.38, 0.85, -0.22
, 11.607, -0.37, 0.86, -0.18
, 11.676, -0.37, 0.86, -0.19
, 11.680, -0.38, 0.85, -0.18
, 11.734, -0.37, 0.84, -0.18
, 11.796, -0.39, 0.82, -0.19
, 11.861, -0.42, 0.86, -0.17
, 11.877, -0.40, 0.85, -0.18
, 11.923, -0.40, 0.85, -0.18
, 11.994, -0.38, 0.83, -0.16
, 12.055, -0.38, 0.84, -0.17
, 12.081, -0.38, 0.84, -0.17
, 12.121, -0.39, 0.85, -0.19
, 12.186, -0.40, 0.84, -0.19
, 12.247, -0.39, 0.82, -0.18
, 12.280, -0.39, 0.84, -0.18
, 12.319, -0.38, 0.85, -0.18
, 12.371, -0.38, 0.85, -0.18
, 12.430, -0.39, 0.83, -0.18
, 12.484, -0.38, 0.84, -0.18
, 12.499, -0.38, 0.83, -0.18
, 12.558, -0.38, 0.85, -0.14
, 12.623, -0.38, 0.85, -0.17
, 12.685, -0.37, 0.85, -0.17
, 12.689, -0.37, 0.85, -0.20
, 12.752, -0.37, 0.86, -0.16
, 12.815, -0.37, 0.84, -0.15
, 12.877, -0.38, 0.86, -0.16
, 12.884, -0.37, 0.86, -0.16
, 12.943, -0.38, 0.85, -0.17
, 13.004, -0.35, 0.85, -0.16
, 13.070, -0.37, 0.86, -0.16
, 13.085, -0.36, 0.85, -0.17
, 13.136, -0.37, 0.86, -0.17
, 13.197, -0.37, 0.85, -0.18
, 13.260, -0.37, 0.85, -0.19
, 13.286, -0.37, 0.85, -0.19
, 13.326, -0.36, 0.85, -0.19
, 13.394, -0.38, 0.84, -0.19
, 13.457, -0.37, 0.84, -0.19
, 13.491, -0.37, 0.84, -0.19
, 13.519, -0.38, 0.84, -0.19
, 13.586, -0.37, 0.84, -0.21
, 13.642, -0.38, 0.84, -0.13
, 13.695, -0.38, 0.84, -0.18
, 13.702, -0.38, 0.84, -0.18
, 13.776, -0.37, 0.86, -0.20
, 13.832, -0.37, 0.85, -0.20
, 13.903, -0.37, 0.85, -0.19
, 13.908, -0.38, 0.83, -0.18
, 14.008, -0.37, 0.86, -0.18
, 14.019, -0.37, 0.85, -0.18
, 14.274, -0.38, 0.84, -0.18
, 14.295, -0.37, 0.86, -0.18
, 14.314, -0.39, 0.86, -0.17
, 14.339, -0.39, 0.86, -0.18
, 14.355, -0.40, 0.84, -0.18
, 14.375, -0.37, 0.85, -0.18
, 14.398, -0.38, 0.84, -0.16
, 14.415, -0.38, 0.84, -0.16
, 14.435, -0.38, 0.86, -0.17
, 14.459, -0.39, 0.84, -0.20
, 14.484, -0.38, 0.83, -0.18
, 14.497, -0.38, 0.85, -0.17
, 14.501, -0.37, 0.85, -0.18
, 14.519, -0.37, 0.85, -0.19
, 14.535, -0.36, 0.84, -0.17
, 14.557, -0.38, 0.84, -0.16
, 14.578, -0.37, 0.84, -0.19
, 14.598, -0.38, 0.85, -0.20
