
 ,time,x,y,z
, 3.430, 0.89, -0.15, -0.61
, 3.450, 0.86, -0.18, -0.64
, 3.470, 0.83, -0.16, -0.66
, 3.490, 0.82, -0.14, -0.70
, 3.491, 0.78, -0.14, -0.64
, 3.510, 0.80, -0.20, -0.58
, 3.530, 0.62, -0.32, -0.49
, 3.551, 0.47, -0.13, -0.33
, 3.570, 0.41, -0.46, -0.80
, 3.591, 0.51, -0.31, -0.67
, 3.611, 0.64, -0.19, -0.76
, 3.631, 1.12, -0.13, -0.75
, 3.651, 1.04, -0.22, -0.42
, 3.671, 0.89, -0.38, -0.48
, 3.692, 0.76, -0.05, -0.70
, 3.694, 0.73, -0.24, -0.60
, 3.712, 0.53, 0.03, -0.56
, 3.732, 0.42, -0.15, -0.81
, 3.753, 0.39, -0.04, -0.84
, 3.772, 0.69, -0.11, -0.81
, 3.793, 0.84, -0.14, -0.69
, 3.813, 0.90, -0.23, -0.61
, 3.833, 0.67, -0.30, -0.61
, 3.854, 0.84, -0.64, -0.51
, 3.874, 0.81, 0.11, -0.54
, 3.894, 1.18, 0.08, -0.50
, 3.896, 0.73, -0.14, -0.65
, 3.915, 0.92, -0.22, -0.35
, 3.935, 1.00, -0.31, -0.46
, 3.955, 0.66, -0.20, -0.50
, 3.975, 0.64, -0.18, -0.23
, 3.996, 0.58, -0.06, -0.70
, 4.016, 0.69, 0.22, -0.77
, 4.036, 0.67, 0.35, -0.59
, 4.056, 0.76, 0.21, -0.55
, 4.076, 1.15, 0.15, -0.56
, 4.097, 0.68, 0.10, -0.38
, 4.105, 0.78, 0.01, -0.51
, 4.116, 0.84, 0.01, -0.53
, 4.137, 0.85, -0.04, -0.43
, 4.156, 0.57, -0.17, -0.86
, 4.178, 0.71, -0.28, -0.61
, 4.197, 0.80, -0.23, -0.51
, 4.218, 0.78, -0.17, -0.55
, 4.238, 0.76, -0.12, -0.48
, 4.258, 0.66, -0.18, -0.54
, 4.278, 0.92, -0.54, -0.32
, 4.299, 0.66, -0.98, -0.55
, 4.302, 0.76, -0.27, -0.54
, 4.318, 0.69, -0.37, -0.61
, 4.344, 0.82, -0.02, -0.66
, 4.365, 0.60, -0.28, -0.62
, 4.381, 0.35, -0.56, -0.86
, 4.398, 1.01, 0.76, -0.70
, 4.417, 1.12, 1.11, -0.49
, 4.676, 0.48, 0.20, -0.64
, 4.743, 0.66, 0.05, -0.89
, 4.804, 0.61, 0.02, -0.75
, 4.869, 0.68, 0.01, -0.69
, 4.904, 0.65, 0.02, -0.78
, 4.933, 0.62, 0.01, -0.73
, 4.994, 0.59, 0.01, -0.74
, 5.061, 0.60, 0.03, -0.72
, 5.105, 0.60, 0.01, -0.74
, 5.123, 0.60, 0.02, -0.75
, 5.186, 0.10, 0.02, -0.74
, 5.253, 0.51, -0.11, -0.84
, 5.307, 0.37, 0.00, -0.78
, 5.311, 0.51, 0.09, -0.78
, 5.375, 0.53, -0.05, -0.71
, 5.442, 0.60, -0.02, -0.78
, 5.502, 0.52, 0.00, -0.78
, 5.507, 0.55, -0.02, -0.75
, 5.568, 0.57, 0.02, -0.78
, 5.631, 0.54, 0.01, -0.75
, 5.700, 0.50, -0.01, -0.78
, 5.715, 0.54, 0.01, -0.77
, 5.764, 0.56, -0.01, -0.84
, 5.830, 0.52, -0.09, -0.80
, 5.885, 0.56, -0.10, -0.76
, 5.912, 0.54, -0.08, -0.76
, 5.950, 0.53, -0.05, -0.74
, 6.011, 0.50, -0.00, -0.77
, 6.076, 0.49, -0.04, -0.81
, 6.112, 0.51, -0.02, -0.79
, 6.140, 0.53, -0.00, -0.77
, 6.204, 0.51, -0.01, -0.79
, 6.271, 0.50, -0.04, -0.79
, 6.315, 0.51, -0.02, -0.78
, 6.330, 0.49, -0.08, -0.82
, 6.395, 0.51, -0.05, -0.81
, 6.456, 0.54, -0.05, -0.78
, 6.516, 0.52, -0.04, -0.79
, 6.522, 0.52, -0.02, -0.79
, 6.585, 0.51, -0.03, -0.76
, 6.655, 0.52, -0.03, -0.78
, 6.716, 0.54, -0.05, -0.78
, 6.722, 0.52, -0.04, -0.77
, 6.781, 0.53, -0.03, -0.80
, 6.841, 0.51, -0.02, -0.79
, 6.905, 0.50, -0.03, -0.76
, 6.922, 0.52, -0.02, -0.78
, 6.973, 0.51, -0.03, -0.77
, 7.033, 0.53, -0.05, -0.81
, 7.093, 0.52, -0.04, -0.80
, 7.118, 0.51, -0.04, -0.79
, 7.156, 0.51, -0.04, -0.80
, 7.223, 0.51, -0.05, -0.78
, 7.290, 0.51, -0.06, -0.78
, 7.320, 0.51, -0.05, -0.79
, 7.354, 0.51, -0.04, -0.81
, 7.411, 0.52, -0.04, -0.79
, 7.471, 0.48, -0.04, -0.79
, 7.519, 0.50, -0.04, -0.79
, 7.536, 0.49, -0.05, -0.80
, 7.599, 0.51, -0.04, -0.80
, 7.663, 0.53, -0.05, -0.79
, 7.722, 0.52, -0.05, -0.79
, 7.803, 0.54, -0.05, -0.79
, 7.805, 0.53, -0.04, -0.80
, 7.852, 0.50, -0.02, -0.76
, 7.916, 0.50, -0.05, -0.79
, 7.928, 0.51, -0.04, -0.79
, 7.985, 0.51, -0.05, -0.78
, 8.044, 0.53, -0.04, -0.77
, 8.111, 0.51, -0.05, -0.81
, 8.127, 0.52, -0.05, -0.79
, 8.175, 0.51, -0.04, -0.81
, 8.238, 0.50, -0.05, -0.79
, 8.300, 0.49, -0.06, -0.78
, 8.329, 0.50, -0.05, -0.80
, 8.363, 0.49, -0.06, -0.80
, 8.427, 0.50, -0.06, -0.80
, 8.491, 0.49, -0.05, -0.81
, 8.528, 0.49, -0.06, -0.80
, 8.555, 0.50, -0.05, -0.79
, 8.619, 0.49, -0.06, -0.80
, 8.681, 0.49, -0.06, -0.80
, 8.731, 0.49, -0.06, -0.80
, 8.745, 0.50, -0.06, -0.81
, 8.811, 0.50, -0.06, -0.82
, 8.872, 0.50, -0.06, -0.79
, 8.932, 0.50, -0.06, -0.80
, 8.939, 0.50, -0.06, -0.79
, 8.996, 0.50, -0.05, -0.81
, 9.060, 0.49, -0.06, -0.78
, 9.124, 0.51, -0.06, -0.79
, 9.130, 0.50, -0.06, -0.79
, 9.187, 0.52, -0.05, -0.80
, 9.251, 0.51, -0.05, -0.81
, 9.314, 0.49, -0.06, -0.78
, 9.332, 0.51, -0.05, -0.79
, 9.382, 0.49, -0.06, -0.79
, 9.445, 0.50, -0.05, -0.81
, 9.511, 0.51, -0.05, -0.82
, 9.538, 0.50, -0.05, -0.80
, 9.572, 0.50, -0.06, -0.79
, 9.637, 0.50, -0.06, -0.77
, 9.700, 0.50, -0.05, -0.79
, 9.739, 0.50, -0.06, -0.79
, 9.761, 0.50, -0.05, -0.81
, 9.827, 0.51, -0.05, -0.81
, 9.892, 0.49, -0.06, -0.79
, 9.943, 0.50, -0.06, -0.79
, 9.958, 0.50, -0.06, -0.78
, 10.021, 0.51, -0.06, -0.79
, 10.080, 0.50, -0.05, -0.80
, 10.140, 0.50, -0.06, -0.80
, 10.144, 0.50, -0.05, -0.80
, 10.210, 0.51, -0.06, -0.79
, 10.274, 0.51, -0.05, -0.79
, 10.335, 0.49, -0.06, -0.79
, 10.348, 0.50, -0.06, -0.79
, 10.399, 0.50, -0.04, -0.80
, 10.461, 0.51, -0.06, -0.80
, 10.526, 0.49, -0.06, -0.79
, 10.546, 0.50, -0.05, -0.79
, 10.589, 0.51, -0.05, -0.80
, 10.655, 0.50, -0.05, -0.79
, 10.721, 0.50, -0.06, -0.80
, 10.746, 0.50, -0.05, -0.80
, 10.780, 0.50, -0.06, -0.79
, 10.843, 0.50, -0.05, -0.79
, 10.911, 0.50, -0.05, -0.80
, 10.945, 0.50, -0.06, -0.80
, 10.969, 0.51, -0.06, -0.80
, 11.034, 0.50, -0.06, -0.80
, 11.105, 0.50, -0.06, -0.79
, 11.160, 0.50, -0.06, -0.79
, 11.164, 0.50, -0.06, -0.79
, 11.226, 0.50, -0.06, -0.80
, 11.288, 0.50, -0.06, -0.80
, 11.351, 0.50, -0.06, -0.80
, 11.356, 0.49, -0.06, -0.79
, 11.416, 0.50, -0.06, -0.79
, 11.478, 0.50, -0.06, -0.79
, 11.542, 0.50, -0.05, -0.81
, 11.555, 0.50, -0.06, -0.79
, 11.606, 0.50, -0.06, -0.79
, 11.673, 0.50, -0.06, -0.80
, 11.741, 0.50, -0.06, -0.80
, 11.755, 0.50, -0.06, -0.80
, 11.801, 0.50, -0.07, -0.80
, 11.861, 0.50, -0.06, -0.80
, 11.924, 0.49, -0.06, -0.79
, 11.953, 0.50, -0.06, -0.80
, 11.995, 0.50, -0.06, -0.80
, 12.053, 0.50, -0.06, -0.80
, 12.114, 0.49, -0.05, -0.79
, 12.160, 0.50, -0.06, -0.80
, 12.177, 0.50, -0.06, -0.79
, 12.241, 0.50, -0.06, -0.80
, 12.305, 0.50, -0.06, -0.80
, 12.357, 0.50, -0.06, -0.80
, 12.368, 0.50, -0.06, -0.80
, 12.437, 0.49, -0.06, -0.79
, 12.497, 0.50, -0.06, -0.80
, 12.559, 0.50, -0.06, -0.80
, 12.562, 0.50, -0.06, -0.80
, 12.623, 0.49, -0.06, -0.79
, 12.686, 0.50, -0.06, -0.80
, 12.751, 0.49, -0.06, -0.79
, 12.765, 0.49, -0.06, -0.79
, 12.813, 0.49, -0.06, -0.78
, 12.884, 0.50, -0.06, -0.80
, 12.941, 0.50, -0.06, -0.81
, 12.960, 0.50, -0.06, -0.81
, 13.005, 0.49, -0.05, -0.79
, 13.071, 0.50, -0.07, -0.79
, 13.131, 0.51, -0.06, -0.81
, 13.162, 0.50, -0.06, -0.80
, 13.200, 0.50, -0.05, -0.80
, 13.265, 0.49, -0.07, -0.78
, 13.324, 0.50, -0.07, -0.78
, 13.369, 0.49, -0.06, -0.79
, 13.385, 0.50, -0.05, -0.80
, 13.449, 0.50, -0.06, -0.80
, 13.514, 0.50, -0.07, -0.79
, 13.565, 0.50, -0.06, -0.80
, 13.575, 0.51, -0.06, -0.80
, 13.640, 0.50, -0.06, -0.81
, 13.708, 0.50, -0.06, -0.80
, 13.772, 0.50, -0.06, -0.80
, 13.776, 0.50, -0.05, -0.79
, 13.831, 0.51, -0.06, -0.80
, 13.896, 0.50, -0.07, -0.80
, 13.960, 0.49, -0.05, -0.79
, 13.993, 0.50, -0.06, -0.80
, 14.019, 0.50, -0.06, -0.79
, 14.082, 0.50, -0.06, -0.79
, 14.146, 0.50, -0.06, -0.80
, 14.166, 0.50, -0.06, -0.79
, 14.209, 0.49, -0.05, -0.79
, 14.274, 0.50, -0.06, -0.79
, 14.339, 0.50, -0.06, -0.80
, 14.371, 0.50, -0.06, -0.80
, 14.402, 0.50, -0.06, -0.80
, 14.468, 0.50, -0.06, -0.80
, 14.531, 0.50, -0.07, -0.80
, 14.581, 0.50, -0.06, -0.80
, 14.593, 0.50, -0.05, -0.80
, 14.659, 0.50, -0.06, -0.80
, 14.721, 0.50, -0.06, -0.80
, 14.774, 0.50, -0.06, -0.79
, 14.789, 0.49, -0.05, -0.78
, 14.849, 0.50, -0.07, -0.78
, 14.911, 0.51, -0.05, -0.80
