
 ,time,x,y,z
, 9.621, -0.12, 0.15, 0.29
, 9.726, 0.27, -0.09, -0.02
, 9.737, -0.45, -0.14, 0.24
, 9.805, 0.10, -0.19, 0.27
, 9.944, 0.35, 0.34, -0.21
, 9.949, -0.06, -0.47, -0.57
, 10.041, -0.42, 0.67, 0.86
, 10.059, 0.23, -0.62, -1.15
, 10.144, 0.42, 0.40, 1.03
, 10.247, 0.28, 0.13, -0.72
, 10.252, -0.68, -0.37, 0.03
, 10.345, 0.17, 0.08, 0.36
, 10.378, 0.24, -0.08, -0.36
, 10.443, -0.18, -0.08, 0.55
, 10.506, 0.41, 0.09, -0.23
, 10.614, 0.23, -0.00, 0.21
, 10.630, -0.31, -0.29, -0.68
, 10.713, -0.52, 0.68, 0.73
, 10.755, 0.15, -0.81, -1.23
, 10.821, -0.12, 0.74, 1.34
, 10.911, 0.54, -0.56, -0.89
, 10.949, 0.15, 0.69, 0.69
, 11.013, -0.04, -0.41, -0.28
, 11.088, -0.25, 0.05, 0.03
, 11.136, 0.26, -0.06, 0.07
, 11.213, 0.28, -0.23, -0.51
, 11.281, -0.58, 0.40, 0.73
, 11.328, 0.30, -0.41, -0.86
, 11.405, -0.17, 0.46, 0.36
, 11.460, 0.06, -0.50, -0.71
, 11.565, -0.13, 0.26, 0.75
, 11.581, 0.58, 0.24, -0.47
, 11.643, -0.26, -0.27, 0.14
, 11.708, 0.31, 0.24, 0.28
, 11.791, 0.31, 0.06, -0.26
, 11.838, 0.24, -0.42, -0.34
, 11.926, 0.15, 0.24, 0.31
, 11.968, -0.06, -0.23, -0.01
, 12.040, -0.00, -0.10, -0.60
, 12.135, -0.06, -0.17, 0.35
, 12.160, 0.29, 0.54, -0.03
, 12.257, 0.12, -0.43, 0.03
, 12.303, 0.13, 0.34, -0.11
, 12.343, 0.03, -0.07, 0.07
, 12.411, 0.36, 0.41, 0.48
, 12.626, 0.34, -0.52, -0.38
, 12.630, 0.51, 0.31, 0.09
, 12.634, 0.37, -0.18, 0.57
, 12.662, 0.22, 0.22, -0.33
, 12.725, 0.20, -0.27, -0.39
, 12.790, 0.03, 0.15, 0.14
, 12.855, 0.08, -0.11, -0.45
, 12.972, 0.02, -0.20, 0.59
, 12.980, 0.13, 0.63, -0.25
, 13.056, 0.17, -0.85, -0.59
, 13.107, -0.07, 0.61, 1.26
, 13.171, 0.35, -0.05, -1.16
, 13.258, -0.13, -0.54, 0.48
, 13.301, 0.42, 0.28, 0.12
, 13.392, 0.28, -0.01, -0.07
, 13.489, 0.25, 0.05, 0.09
, 13.494, 0.38, -0.05, -0.22
, 13.572, -0.10, -0.12, 0.09
, 13.634, 0.02, 0.01, 0.21
, 13.678, 0.47, -0.06, -0.44
, 13.741, -0.35, 0.09, 0.91
, 13.811, 0.31, -0.44, -0.92
, 13.910, -0.07, 0.48, 1.15
, 13.950, -0.05, 0.04, -0.67
, 13.997, -0.16, -0.73, -0.22
, 14.096, -0.30, 1.04, 0.73
, 14.124, -0.14, -0.60, -2.09
, 14.188, 1.80, 0.07, 1.34
, 14.280, -0.52, -0.04, -0.92
, 14.320, -0.34, 0.53, 0.23
, 14.378, 0.20, -0.31, 0.16
, 14.473, -0.32, 0.02, 0.43
, 14.505, 0.02, -0.33, -0.27
, 14.571, -0.87, 0.41, -0.35
, 14.680, 0.75, -0.40, 0.55
, 14.701, 0.12, 0.34, 0.60
, 14.788, 0.11, -0.27, -1.32
, 14.879, -0.76, 0.54, 1.09
, 14.890, 0.63, -0.47, -0.81
, 14.987, -0.16, 0.31, -0.03
, 15.020, 0.31, 0.06, -0.41
, 15.103, 0.07, 0.10, 0.12
, 15.150, -0.34, -0.35, 0.51
, 15.205, 0.43, -0.25, -0.19
, 15.294, 0.69, -0.35, -0.33
, 15.399, -0.15, 0.35, 0.66
, 15.406, 0.42, 0.16, 0.12
, 15.531, 0.63, -1.08, 0.97
