
unknown,time,index,x,y,z,norm,unknown2,
0014.4F01.0000.04D2,0,0,-0.3709677419354839,-0.08064516129032258,0.8709677419354839,0.9501081596789123,false,
0014.4F01.0000.04D2,9,1,-0.3387096774193548,-0.04838709677419355,0.8870967741935484,0.950792429238032,false,
0014.4F01.0000.04D2,19,2,-0.4032258064516129,-0.0967741935483871,0.967741935483871,1.052844123894683,false,
0014.4F01.0000.04D2,29,3,-0.4032258064516129,-0.0967741935483871,0.967741935483871,1.052844123894683,false,
0014.4F01.0000.04D2,39,4,-0.3709677419354839,-0.04838709677419355,0.9354838709677419,1.0075159797897686,false,
0014.4F01.0000.04D2,49,5,-0.3548387096774194,-0.08064516129032258,0.9193548387096774,0.9887504596125227,false,
0014.4F01.0000.04D2,59,6,-0.3709677419354839,-0.06451612903225806,0.9516129032258065,1.0233994889816327,false,
0014.4F01.0000.04D2,69,7,-0.3387096774193548,-0.0967741935483871,0.9354838709677419,0.9996097053126559,false,
0014.4F01.0000.04D2,81,8,-0.3548387096774194,-0.11290322580645161,0.8709677419354839,0.9472288296790983,false,
0014.4F01.0000.04D2,89,9,-0.3548387096774194,-0.11290322580645161,0.9032258064516129,0.9769721110263102,false,
0014.4F01.0000.04D2,100,10,-0.3548387096774194,-0.08064516129032258,0.9193548387096774,0.9887504596125227,false,
0014.4F01.0000.04D2,109,11,-0.3548387096774194,-0.04838709677419355,0.8870967741935484,0.9566569436346398,false,
0014.4F01.0000.04D2,119,12,-0.3709677419354839,-0.11290322580645161,0.9354838709677419,1.0126669130543395,false,
0014.4F01.0000.04D2,129,13,-0.41935483870967744,-0.08064516129032258,0.9193548387096774,1.0136939588690754,false,
0014.4F01.0000.04D2,139,14,-0.41935483870967744,-0.06451612903225806,0.967741935483871,1.0566670551070452,false,
0014.4F01.0000.04D2,149,15,-0.3387096774193548,-0.08064516129032258,0.9032258064516129,0.9680107153628166,false,
0014.4F01.0000.04D2,161,16,-0.3709677419354839,-0.0967741935483871,0.9032258064516129,0.9812233015648472,false,
0014.4F01.0000.04D2,169,17,-0.41935483870967744,-0.06451612903225806,0.9516129032258065,1.0419155096457557,false,
0014.4F01.0000.04D2,180,18,-0.4032258064516129,-0.0967741935483871,0.9354838709677419,1.0232723822943162,false,
0014.4F01.0000.04D2,189,19,-0.3709677419354839,-0.14516129032258066,0.9354838709677419,1.0167688717725476,false,
0014.4F01.0000.04D2,199,20,-0.3387096774193548,-0.12903225806451613,0.9193548387096774,0.9882241085187349,false,
0014.4F01.0000.04D2,209,21,-0.3870967741935484,-0.14516129032258066,0.9032258064516129,0.9933441348492142,false,
0014.4F01.0000.04D2,250,22,-0.3870967741935484,-0.16129032258064516,0.967741935483871,1.0546956596304398,false,
0014.4F01.0000.04D2,259,23,-0.3548387096774194,-0.16129032258064516,0.9193548387096774,0.9985681736880068,false,
0014.4F01.0000.04D2,272,24,-0.3870967741935484,-0.16129032258064516,0.9032258064516129,0.9958289703505245,false,
0014.4F01.0000.04D2,279,25,-0.3548387096774194,-0.16129032258064516,0.8870967741935484,0.9689508577984252,false,
