
unknown,time,index,x,y,z,norm,unknown2,
0014.4F01.0000.0868,0,0,-0.053763440860215055,-0.8870967741935484,-0.3817204301075269,0.9672340363734129,true,
0014.4F01.0000.0868,10,1,-0.05913978494623656,-0.9032258064516129,-0.3817204301075269,0.9823567877126563,true,
0014.4F01.0000.0868,20,2,-0.04838709677419355,-0.9032258064516129,-0.3870967741935484,0.9838709677419355,true,
0014.4F01.0000.0868,30,3,-0.06451612903225806,-0.8978494623655914,-0.3763440860215054,0.9756694414907391,true,
0014.4F01.0000.0868,40,4,-0.04838709677419355,-0.9032258064516129,-0.3870967741935484,0.9838709677419355,true,
0014.4F01.0000.0868,50,5,-0.053763440860215055,-0.8978494623655914,-0.3870967741935484,0.9792180948258474,true,
0014.4F01.0000.0868,60,6,-0.04838709677419355,-0.9086021505376344,-0.3870967741935484,0.9888089257722648,true,
0014.4F01.0000.0868,70,7,-0.06451612903225806,-0.8924731182795699,-0.3817204301075269,0.9728211986374686,true,
0014.4F01.0000.0868,81,8,-0.04838709677419355,-0.8978494623655914,-0.3870967741935484,0.9789376286543835,true,
0014.4F01.0000.0868,89,9,-0.05913978494623656,-0.9032258064516129,-0.3870967741935484,0.9844583709810713,true,
0014.4F01.0000.0868,100,10,-0.05913978494623656,-0.8870967741935484,-0.3763440860215054,0.9654393155612883,true,
0014.4F01.0000.0868,110,11,-0.05913978494623656,-0.8817204301075269,-0.3817204301075269,0.9626208587985016,true,
0014.4F01.0000.0868,120,12,-0.04838709677419355,-0.8924731182795699,-0.3817204301075269,0.9718848001421617,true,
0014.4F01.0000.0868,130,13,-0.053763440860215055,-0.8978494623655914,-0.3817204301075269,0.977105240700707,true,
0014.4F01.0000.0868,140,14,-0.05913978494623656,-0.8978494623655914,-0.3817204301075269,0.9774158060902964,true,
0014.4F01.0000.0868,150,15,-0.05913978494623656,-0.8978494623655914,-0.3870967741935484,0.9795279903222366,true,
0014.4F01.0000.0868,161,16,-0.04838709677419355,-0.8870967741935484,-0.3763440860215054,0.964840333424239,true,
0014.4F01.0000.0868,169,17,-0.053763440860215055,-0.8978494623655914,-0.3817204301075269,0.977105240700707,true,
0014.4F01.0000.0868,180,18,-0.043010752688172046,-0.8978494623655914,-0.3817204301075269,0.9765726131110066,true,
0014.4F01.0000.0868,190,19,-0.03763440860215054,-0.8978494623655914,-0.3817204301075269,0.9763505991919554,true,
0014.4F01.0000.0868,200,20,-0.053763440860215055,-0.9032258064516129,-0.3817204301075269,0.98204778487341,true,
0014.4F01.0000.0868,224,21,-0.053763440860215055,-0.9032258064516129,-0.3763440860215054,0.9799705281775868,true,
0014.4F01.0000.0868,230,22,-0.053763440860215055,-0.8870967741935484,-0.3709677419354839,0.9630411517242868,true,
0014.4F01.0000.0868,240,23,-0.04838709677419355,-0.8924731182795699,-0.3602150537634409,0.9636412522010942,true,
0014.4F01.0000.0868,251,24,-0.053763440860215055,-0.8978494623655914,-0.3870967741935484,0.9792180948258474,true,
0014.4F01.0000.0868,259,25,-0.05913978494623656,-0.8924731182795699,-0.3870967741935484,0.974602325877687,true,
0014.4F01.0000.0868,270,26,-0.053763440860215055,-0.9032258064516129,-0.3763440860215054,0.9799705281775868,true,
0014.4F01.0000.0868,280,27,-0.04838709677419355,-0.8924731182795699,-0.3817204301075269,0.9718848001421617,true,
0014.4F01.0000.0868,290,28,-0.043010752688172046,-0.8978494623655914,-0.3817204301075269,0.9765726131110066,true,
0014.4F01.0000.0868,300,29,-0.05913978494623656,-0.9032258064516129,-0.3870967741935484,0.9844583709810713,true,
0014.4F01.0000.0868,310,30,-0.04838709677419355,-0.8978494623655914,-0.3763440860215054,0.9747357792180293,true,
0014.4F01.0000.0868,320,31,-0.053763440860215055,-0.9032258064516129,-0.3655913978494624,0.9758916103721869,true,
0014.4F01.0000.0868,331,32,-0.05913978494623656,-0.8924731182795699,-0.3817204301075269,0.9724794433696897,true,
0014.4F01.0000.0868,339,33,-0.04838709677419355,-0.8870967741935484,-0.3763440860215054,0.964840333424239,true,
0014.4F01.0000.0868,350,34,-0.04838709677419355,-0.8924731182795699,-0.3817204301075269,0.9718848001421617,true,
0014.4F01.0000.0868,360,35,-0.04838709677419355,-0.9032258064516129,-0.3817204301075269,0.9817681270727202,true,
0014.4F01.0000.0868,370,36,-0.053763440860215055,-0.8978494623655914,-0.3870967741935484,0.9792180948258474,true,
0014.4F01.0000.0868,380,37,-0.053763440860215055,-0.8978494623655914,-0.3763440860215054,0.9750174540625791,true,
0014.4F01.0000.0868,390,38,-0.05913978494623656,-0.8924731182795699,-0.3817204301075269,0.9724794433696897,true,
0014.4F01.0000.0868,400,39,-0.07526881720430108,-0.8924731182795699,-0.3817204301075269,0.9735934205080008,true,
0014.4F01.0000.0868,411,40,-0.04838709677419355,-0.9032258064516129,-0.3817204301075269,0.9817681270727202,true,
0014.4F01.0000.0868,419,41,-0.053763440860215055,-0.8978494623655914,-0.3870967741935484,0.9792180948258474,true,
0014.4F01.0000.0868,430,42,-0.043010752688172046,-0.9032258064516129,-0.3763440860215054,0.9794394587570647,true,
0014.4F01.0000.0868,440,43,-0.04838709677419355,-0.8978494623655914,-0.3817204301075269,0.9768241678858545,true,
